id,categoryId,name,costPrice,salePrice,unit
15483,189-30-301-31,Bermunda Primaria,51.7,41.5,un
15487,189-30-301-31,Saya Primaria,43.26,35,un
15506,189-30-301-31,Camisa Ens Media,68.1068,31.5,un
15523,189-30-301-31,Camisa Ens Media,68.1069,31.5,un
15584,189-30-301-31,Blunsa Ens Media,65.7533,31,un
15585,189-30-301-31,Pantalon Primaria,69.778,31.5,un
15586,189-30-301-31,Pantalon Ens Media,129.94,61.5,un
15587,189-30-301-31,Bermunda Primaria,87.4475,41.5,un
15591,189-30-301-31,Blunsa Primaria,48.2018,23,un
751008,189-30-301-31,Saya Secundaria,90.0243,44.5,un
890344,189-30-301-31,Camisa Primaria,55.0177,25,un
15004,189-30-302-501,Trusa Triqunini de Jovencita,10.28,150,un
15527,189-30-302-501,Medias p/Niño,138.45,175,un
15528,189-30-302-501,Medias Bermundas,175.7248,220,un
15530,189-30-302-501,Medias c/Punteras,127.8,160,un
15531,189-30-302-501,Medias s/Punteras,127.8,160,un
15554,189-30-302-501,Medias P/Niña,74.55,95,un
15599,189-30-302-501,Media Vestir Hombre,117.15,150,un
15600,189-30-302-501,Media Escolar Niño,42.6,55,un
15602,189-30-302-501,Plantilla P/Hbre.,159.75,200,un
15603,189-30-302-501,Plantilla Niña,106.5,135,un
15604,189-30-302-501,Plantilla unisex,159.75,200,un
15616,189-30-302-501,Plantilla,101.175,130,un
15617,189-30-302-501,Medias s/Punteras,127.8,160,un
252500,189-30-302-501,Medias de Niña,149.1,190,un
272395,189-30-302-501,Medias de Vestir de hombre,175.7233,235,un
2724598,189-30-302-501,Plantilla P/niña,106.5,135,un
2724600,189-30-302-501,Plantillas,101.175,130,un
2724601,189-30-302-501,Protector Muñeca Larga,79.875,100,un
2724602,189-30-302-501,Protector Muñeca corta,74.55,95,un
2724635,189-30-302-501,Zapatera,2000,2500,un
2724636,189-30-302-501,Gorra,600,800,un
2724639,189-30-302-501,Pullovert de Niño,1200,1500,un
2724641,189-30-302-501,Juego de Paño de Cocina,750,900,un
2724642,189-30-302-501,Juego toalla de 2 Pzas,1620,2100,un
2724643,189-30-302-501,Camisa M/L Hombre,1620,2150,un
2724644,189-30-302-501,Alfombras,1620,2120,un
2724645,189-30-302-501,Manteles,1620,2120,un
2724646,189-30-302-501,Short Hombre,1620,2120,un
2724647,189-30-302-501,Jakect de hombre,1620,2120,un
272503,189-30-302-501,Medias bermundas,175.7249,220,un
15563,189-30-302-503,Sabana Camera,1171.5,1465,un
15564,189-30-302-503,paño de cortina,600,800,un
15598,189-30-302-503,Sabana personal,1011.75,1265,un
15574,189-30-302-504,Fosforera,90.7379,115,un
2724591,189-30-302-504,Peine de Señora,56.7525,75,un
008A243,189-30-302-505,Boligrafo,16.5,19,un
15575,189-30-302-505,Lapicero Personalizado,37.2749,50,un
15594,189-30-302-505,Presilla p/presilladora,383.4,480,un
15596,189-30-302-505,Lapicero personalizado,37.275,50,un
15614,189-30-302-505,Files,27.5835,35,un
2724583,189-30-302-505,Hoja Carta,1970.25,2465,un
2724595,189-30-302-505,Lapices personalizados,37.275,50,un
132060,189-30-302-506,Pintura Vinil,866.3233,1200,un
